class_name,target,t_statistic,p_value_ttest,cohen_d,mean_confidence_took,mean_confidence_not_took,mean_diff,n_took,n_not_took,p_fdr_ttest,significant_fdr_ttest
PSTAT134,math.comf,4.483050787232089,0.0010935908122610915,1.2443369770097268,4.833333333333333,3.933333333333333,0.8999999999999999,6,45,0.021871816245221828,True
PSTAT120,math.comf,1.1433870066317722,0.32917665829715703,0.7650644232272659,4.085106382978723,3.5,0.5851063829787231,47,4,0.6998372388824688,False
CS5,math.comf,0.936386279457175,0.5091175366919141,0.6183140130716893,4.5,4.020408163265306,0.4795918367346941,2,49,0.6998372388824688,False
PSTAT131,math.comf,1.515400553710043,0.13778134410941695,0.4432432313152532,4.238095238095238,3.9,0.3380952380952382,21,30,0.6998372388824688,False
PSTAT100,math.comf,1.2132157428565178,0.23276764513910717,0.3546968887401124,4.2105263157894735,3.9375,0.27302631578947345,19,32,0.6998372388824688,False
CS165,math.comf,0.46528758437521484,0.6704470054110034,0.2936435840268656,4.25,4.0212765957446805,0.22872340425531945,4,47,0.7449411171233371,False
PSTAT122,math.comf,0.5963121797083537,0.5598697911059751,0.21316031196252008,4.075,3.909090909090909,0.165909090909091,40,11,0.6998372388824688,False
PSTAT160,math.comf,0.6599454381778809,0.5129311226023804,0.18976261375673212,4.1,3.9523809523809526,0.1476190476190471,30,21,0.6998372388824688,False
PSTAT115,math.comf,0.3203315082541742,0.7557519473545864,0.1303535269096107,4.125,4.023255813953488,0.10174418604651159,8,43,0.7955283656364067,False
PSTAT127,math.comf,-0.040576216019259634,0.9740653691917073,-0.052235169765556505,4.0,4.040816326530612,-0.040816326530611846,2,49,0.9740653691917073,False
rsrch,math.comf,-0.5361204619305224,0.5950794458909634,-0.1509483313736123,4.0,4.117647058823529,-0.117647058823529,34,17,0.7000934657540746,False
CS16,math.comf,-0.6768145075847182,0.5019635866621401,-0.18976261375673212,3.9523809523809526,4.1,-0.1476190476190471,21,30,0.6998372388824688,False
PSTAT174,math.comf,-0.598518530877447,0.5547127583087075,-0.19043797032178278,3.9375,4.085714285714285,-0.1482142857142854,16,35,0.6998372388824688,False
CS9,math.comf,-0.6036344656096722,0.5528169471700093,-0.19763447626779454,4.0,4.153846153846154,-0.1538461538461542,38,13,0.6998372388824688,False
CS130,math.comf,-0.678154635064488,0.5291615113480614,-0.3412104236111381,3.8,4.065217391304348,-0.26521739130434785,5,46,0.6998372388824688,False
PSTAT126,math.comf,-0.9251567171936157,0.38143696944762284,-0.36867645720480613,4.0,4.285714285714286,-0.2857142857142856,44,7,0.6998372388824688,False
LING104,math.comf,-1.0959161885007933,0.4575308677695229,-0.725570937141384,3.5,4.061224489795919,-0.5612244897959187,2,49,0.6998372388824688,False
LING110,math.comf,-1.0959161885007933,0.4575308677695229,-0.725570937141384,3.5,4.061224489795919,-0.5612244897959187,2,49,0.6998372388824688,False
LING111,math.comf,-1.0959161885007933,0.4575308677695229,-0.725570937141384,3.5,4.061224489795919,-0.5612244897959187,2,49,0.6998372388824688,False
ECON145,math.comf,-1.0959161885007933,0.4575308677695229,-0.725570937141384,3.5,4.061224489795919,-0.5612244897959187,2,49,0.6998372388824688,False
PSTAT134,math.prof,2.5175606370520707,0.03487638410326292,0.8077226804827785,1.8333333333333333,1.3555555555555556,0.47777777777777763,6,45,0.1395055364130517,True
PSTAT120,math.prof,1.071479909189594,0.35668136330128936,0.7451663542237802,1.446808510638298,1.0,0.44680851063829796,47,4,0.706746634333999,False
PSTAT131,math.prof,1.671070912358828,0.10116597821138285,0.45493022207972383,1.5714285714285714,1.3,0.27142857142857135,21,30,0.33721992737127615,False
CS130,math.prof,0.7991864279317311,0.45938531231709934,0.34284286398481084,1.6,1.391304347826087,0.20869565217391317,5,46,0.706746634333999,False
PSTAT100,math.prof,1.1074611083804713,0.27396994399081914,0.301590442173827,1.5263157894736843,1.34375,0.1825657894736843,19,32,0.6088220977573758,False
CS165,math.prof,0.3167922486935354,0.7688972010195432,0.15658856676764624,1.5,1.4042553191489362,0.0957446808510638,4,47,0.8847056931403421,False
